### gwbasic_000.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
328 | SENSO 1 | ARCADE | W | 328
329 | GAMA | ARCADE | W | 329
330 | RUNG-FU | ARCADE | W | 330
331 | Q-ERT | ARCADE | W | 331
332 | HOROSCOPO | UTILIDAD | W | 332
333 | RBZ | ARCADE | W | 333
334 | TIRO A TIRO | ARCADE | W | 334
335 | LA MANZANA DE NEWTON | ARCADE | W | 335
336 | TOPO | ARCADE | W | 336
337 | QUAZATRON | ARCADE | W | 337
338 | FRANKESTEIN | ARCADE | W | 338
339 | ROCKY | ARCADE | W | 339
340 | STARQUAKE | UIDEQAVENTURA | X | 340
341 | MOVIE | CONUERSACIONAL | X | 341
342 | ASTERIX Y EL CALDERO MAGICO | ARCADE | X28 | 342

### gwbasic_019.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
343 | PYRACURSE | UIDEQAVENTURA | X | 343
344 | EQUINOX | UIDEQAVENTURA | X | 344
345 | XENO | ARCADE | Y | 345
346 | URIDIUM | ARCADE | X | 346
34 | A.C.E. | ARCADE | X | 34
348 | ROLLER COASTER | ARCADE | X | 348
349 | THE GREAT ESCAPE | UIDEQAVENTURA | X | 349
350 | MONTY ON THE RUN | ARCADE | X | 350
351 | SPINDIZZY | UIDEQAVENTURA | Y | 351
352 | LODE RUNNER | ARCADE | Y | 352
353 | PAPERBOY | ARCADE | Y | 353
354 | COBRA | ARCADE | Y | 354
355 | GALIUAN | ARCADE | Y | 355
356 | BREAK THRU | ARCADE | Y | 356
357 | I OF THE MASK | ARCADE | Y | 357
358 | KONG | ARCADE | Y | 358
359 | BORZAK | ARCADE | ZZ | 359
360 | COSMIC KANGA | ARCADE | ZZ | 360

### gwbasic_020.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
361 | SWEEUOS WORLD | UIDEQAVENTURA | ZZ | 361
362 | THAT'S THE SPIRIT | UIDEQAVENTURA | Z-24 | 362
363 | THE TRANSFORMERS | ARCADE | ZZ | 363
364 | FINDERS KEEPERS | UIDEQAVENTURA | ZZ | 364
365 | ELITE | ARCADE | 2-20 | 365
366 | JUGGERNAUT | SIMULADOR | D | 366
367 | STAINLESS STEEL | ARCADE | D | 367
368 | TWISTER | ARCADE | D | 368
369 | 1942 | ARCADE | D | 369
370 | HARDBALL | S. DEPORTIVO | D | 370
371 | BOUNDER | ARCADE | D | 321
372 | STREET HAWK | ARCADE | D | 322
373 | THANATOS | ARCADE | D | 323
374 | TOP GUN | ARCADE | D | 324
325 | SURUIUAL | JUEGO DE MESA | D | 325
376 | MAKE A CHIP | UTILIDAD | D | 326
37 | MELBOURNE DRAW IT | UTIL IDAD | D | 32
378 | THE GOONIES | ARCADE | D | 378

### gwbasic_021.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
379 | XARQ | ARCADE | ZZ | 329
380 | MIAMI VICE | ARCADE | ZZ | 380
381 | BEAR BOWER | ARCADE | ZZ | 381
382 | FIRELORD | UIDEQAVENTURA | ZZ | 382
383 | TRIVIAL PURSUIT | JUEGO DE MESA | 1 | 383
384 | STRIKE FORCE COBRA | ARCADE | 1 | 384
385 | NOMINA | UTILIDAD | C | 385
386 | BANCOS | UTILIDAD | CC | 386
387 | MAPA 48K | UTILIDAD | CC | 387
388 | STOCK | UTIL IDAD | CC | 388
389 | THE TRAP DOOR | ARCADE | CC | 389
390 | TT RACER | SIMULADOR | CC | 390
391 | NIGHTMARE RALLY | ARCADE | CC | 391
392 | FUTURE KNIGHT | ARCADE | CC | 392
393 | KNIGHT RIDER | ARCADE | CC | 393
394 | ITS A KNOCKOUT | ARCADE | CC | 394
395 | SHAOLINS ROAD | ARCADE | CC | 395
396 | YIE AR KUNG-FU IT | ARCADE | CC | 396

### gwbasic_022.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
397 | SPACE HARRIER | ARCADE | CC | 397
398 | CONTABLE | UTILIDAD | 2 | 398
399 | GAUNTLET | ARCADE | 2 | 399
400 | LAS TRES LUCES DE GLAURUNG | UIDEQAVENTURA | 2 | 409
401 | TERRA CRESTA | ARCADE | 2 | 401
402 | JAIL BREAK | ARCADE | 2-20 | 402
408 | ARKANOID | ARCADE | 2 | 403
404 | LOGO | UTILIDAD | Y | 404
405 | FORTH | UTILIDAD | Y | 405
406 | PAGEMAKER | UTILIDAD | 2 | 406
407 | THE ARTIST 11 | UTILIDAD | B | 407
408 | COPION | UTILIDAD | B | 408
409 | TC | UTIL IDAD | 0-33 | 409
410 | LEGEND OF THE AMAZON WOMEN | ARCADE | T | 410
411 | STOP THE ITA EXPRESS | ARCADE | 5 | 411
412 | ARMY MOVES | ARCADE | 1 | 412
413 | DEEP STRIKE | ARCADE | 1 | 413
414 | BCS QUEST FOR TIRES | ARCADE |  | 414

### gwbasic_023.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
415 | HERBERT S DUMMY RUN | UIDEQAVENTURA | 1 | 415
416 | ENDURO RACER | ARCADE | 3 | 416
41 | THE EIDOLON | ARCADE | 4 | 41
418 | EXPRESS RAIDER | ARCADE | 4 | 418
419 | SCALEXTRICK | ARCADE | 1 | 419
420 | XEVIOUS | ARCADE | 1 | 420
421 | REVOLUTION | ARCADE | 1 | 421
422 | ACE OF ACES | SIMULADOR | 3 | 422
423 | ESCAPE FROM SINGES CASTLE | ARCADE | 3 | 423
424 | WHAM THE MUSIC BOX | UTILIDAD | 3 | 424
425 | SIGMA 2 | ARCADE | 3 | 425
426 | NEMESIS | ARCADE | 3 | 426
42 | AVENGER | UIDEQAVENTURA | 5 | 42
428 | TRAILBLAZER | ARCADE | 5 | 428
429 | FROST BYTE | UIDEQAVENTURA | 5 | 429
430 | HEARTLAND: | UIDEQAVENTURA | 4 | 430
431 | ESPIONAGE ISLAND | CONUERSACIONAL | CC | 431
432 | EL MISTERIO DEL NILO | ARCADE | 4 | 432

### gwbasic_024.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
433 | PLANET OF DEATH | CONUERSACIONAL | F | 433
434 | SHORT CIRCUIT | ARCADE | 4 | 434
435 | FERNANDO MARTIN BASKET MASTER | ARCADE | 4 | 435
436 | DINAMITE DAN IT | ARCADE | 4 | 436
437 | BAZOOKA BILL | ARCADE | 2 | 437
438 | SABOTEUR II | UIDEQAVENTURA | 2 | 438
439 | SHADOW SKIMMER | ARCADE | 2 | 439
440 | TAU CETI | ARCADE | 5 | 440
441 | ACADEMY | ARCADE | 5-28 | 441
442 | ARCHON | ARCADE | 5 | 442
443 | LEADER BOARD | SIMULADOR | 4 | 443
444 | NONAMED | ARCADE | 4 | 444
445 | RAMON RODRIGUEZ | ARCADE | 5 | 445
446 | WORLD DESTRUCTION | ARCADE | 5 | 446
44 | CONTABILIDAD PERSONAL | UTILIDAD | 5 | 447
448 | ART STUDIO | UTIL IDAD | 6 | 448
449 | DUSTIN | UIDEQAVENTURA | 3 | 449
450 | THE SACRED ARMOUR OF ANTIRIAD | UIDEQAVENTURA |  | 450

### gwbasic_025.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
451 | INTERNATIONAL RUGBY | ARCADE | 3 | 451
452 | DEATH WAKE | ARCADE | 6 | 452
453 | BIG BEN STRIKE AGAIN | ARCADE | 3 | 453
454 | TALES OF ARABIAN NIGHTS | ARCADE | 6 | 454
455 | 4 VIEW TO A KILL | ARCADE | 6-26 | 455
456 | WILLYS NEW HAT | ARCADE | 6 | 456
457 | SPELLBOUND | ARCADE | 6 | 457
458 | STARBIKE | ARCADE | 1 | 458
459 | FIST II | UIDEQAVENTURA | 5 | 459
460 | TRASHMAN | ARCADE | ZZ | 460
461 | ONMICOPY 2 | UTILIDAD | 6 | 461
462 | INCA CURSE | CONUERSACIONAL, | 6 | 462
463 | SPEED DUEL | ARCADE | 5 | 463
464 | FILECARD | UTILIDAD | 6 | 464
465 | ESTADISTICA | UTILIDAD | 1 | 465
466 | THE KET TRILOGY | CONUERSACIONAL, | 6 | 466
467 | COSMIC DEBRIS | ARCADE |  | 467
468 | TRADER TRILOGY | ARCADE |  | 468

### gwbasic_026.png ###
N | NOMBRE | TIPO | CINTA | REGISTRO
------------------------------------
469 | DREAD NOUGHTS | ESTRATEGIA | 6 | 469
420 | DIMENSION DESTRUCTORS | ARCADE | 5 | 420
